Price,Mfg_Year,KM,HP,Quarterly_Tax,Weight,Mfr_Guarantee,Airco,Central_Lock,Powered_Windows,Metallic_Rim
13500,2002,46986,90,210,1165,0,0,1,1,0
13750,2002,72937,90,210,1165,0,1,1,0,0
13950,2002,41711,90,210,1165,1,0,0,0,0
14950,2002,48000,90,210,1165,1,0,0,0,0
13750,2002,38500,90,210,1170,1,1,1,1,0
12950,2002,61000,90,210,1170,0,1,1,1,0
16900,2002,94612,90,210,1245,0,1,1,1,0
18600,2002,75889,90,210,1245,1,1,1,1,0
21500,2002,19700,192,100,1185,0,1,1,1,1
12950,2002,71138,69,185,1105,0,1,0,0,0
20950,2002,31461,192,100,1185,1,1,1,1,1
19950,2002,43610,192,100,1185,1,1,1,1,1
19600,2002,32189,192,100,1185,1,1,1,1,1
21500,2002,23000,192,100,1185,1,1,1,1,1
22500,2002,34131,192,100,1185,1,1,1,1,1
22000,2002,18739,192,100,1185,0,1,1,1,1
22750,2002,34000,192,100,1185,0,1,1,1,1
17950,2002,21716,110,85,1105,0,1,1,1,0
16750,2002,25563,110,19,1065,0,1,1,1,0
16950,2002,64359,110,85,1105,1,1,1,1,0
15950,2002,67660,110,85,1105,1,1,1,1,0
16950,2002,43905,110,100,1170,0,1,1,1,0
15950,2002,56349,110,85,1120,0,1,1,1,1
16950,2002,32220,110,85,1120,1,1,1,1,0
16250,2002,25813,110,85,1120,1,1,1,1,0
15950,2002,28450,110,85,1120,0,1,1,1,1
17495,2002,34545,110,85,1120,1,1,1,1,1
15750,2002,41415,110,85,1120,1,1,1,1,1
16950,2002,44142,110,85,1120,1,1,1,1,0
17950,2002,11090,110,85,1120,1,1,1,1,0
12950,2002,9750,97,19,1100,1,0,0,0,0
15750,2002,35199,97,85,1100,1,1,1,1,1
15950,2002,29510,97,85,1100,1,1,1,1,0
14950,2002,32692,97,85,1100,0,1,1,1,0
15500,2002,41000,97,85,1100,0,1,1,1,0
15750,2002,43000,97,85,1100,1,1,1,1,0
15950,2002,25000,97,85,1100,0,1,1,1,0
14950,2002,10000,97,85,1100,1,0,1,1,0
15750,2002,25329,97,85,1100,1,1,1,1,0
14750,2002,27500,97,85,1100,1,0,0,0,0
13950,2002,49059,97,85,1100,0,0,0,0,0
16750,2002,44068,97,85,1100,1,1,1,1,0
13950,2002,46961,97,85,1100,1,0,0,0,0
16950,2002,110404,90,234,1255,1,1,1,1,0
16950,2002,100250,90,234,1255,1,1,1,1,0
19000,2002,84000,90,234,1270,0,1,1,1,0
17950,2002,79375,90,234,1255,0,1,1,1,0
15800,2002,75048,97,85,1110,0,1,1,1,0
17950,2002,72215,90,234,1255,1,1,1,1,0
21950,2002,64982,192,100,1195,1,1,1,1,1
17950,2002,62636,90,234,1255,1,1,1,1,0
15750,2002,57086,97,85,1110,0,1,1,1,1
20500,2002,56000,110,100,1180,1,1,1,1,1
21950,2002,49866,192,100,1195,0,1,1,1,1
15500,2002,49163,110,100,1165,0,0,0,0,0
13250,2002,45725,110,85,1075,1,1,1,1,0
15250,2002,43210,97,85,1110,0,1,1,1,0
15250,2002,43000,97,85,1110,1,1,1,1,0
18950,2002,39704,110,100,1180,1,1,1,1,0
15999,2002,38950,110,85,1130,0,1,1,1,0
14950,2002,37400,97,85,1110,0,1,1,1,0
16500,2002,37177,110,85,1130,0,1,1,1,0
18750,2002,36544,110,85,1130,1,1,1,1,0
17950,2002,33511,110,85,1130,1,1,1,1,0
17950,2002,32809,97,85,1110,0,1,1,1,0
16950,2002,32181,110,19,1075,0,1,1,1,0
18950,2002,30993,110,85,1130,1,1,1,1,0
14950,2002,30400,97,85,1110,0,1,1,1,0
22250,2002,30000,110,234,1275,1,1,1,1,0
15950,2002,29719,97,85,1110,1,0,0,1,0
15950,2002,29206,97,85,1110,1,1,1,1,0
12995,2002,29198,97,85,1060,1,1,0,1,1
18950,2002,28817,110,85,1130,1,1,1,1,0
15750,2002,28227,97,85,1110,0,0,0,0,0
19950,2002,28000,110,85,1130,1,1,1,1,1
16950,2002,28000,110,85,1115,1,1,1,1,0
18750,2002,25266,110,85,1130,1,1,1,1,0
18450,2002,23489,110,85,1115,0,0,1,1,0
16895,2002,22575,110,85,1115,1,1,1,1,0
14900,2002,22000,97,85,1110,1,0,1,1,0
18950,2002,20019,110,100,1180,0,1,1,1,0
17250,2002,20000,110,85,1115,1,1,1,1,0
15450,2002,17003,97,85,1110,0,0,0,0,0
17950,2002,16238,110,100,1180,1,1,1,1,0
16650,2002,15414,97,85,1110,1,1,1,1,0
17450,2002,8537,110,85,1130,0,1,1,1,0
14900,2002,7000,97,85,1100,0,1,1,0,0
17950,2003,66966,90,210,1245,0,1,1,1,0
15950,2003,51884,97,85,1100,1,1,1,1,0
21950,2003,50005,110,234,1265,1,1,1,1,0
16450,2003,48110,97,85,1100,1,1,1,1,0
22250,2003,37500,90,234,1260,0,1,1,1,0
19950,2003,34472,90,234,1260,0,1,1,1,1
15950,2003,33329,97,85,1100,0,1,1,1,0
18900,2003,31850,110,85,1120,0,1,1,1,0
19950,2003,30351,90,234,1260,0,1,1,1,0
15950,2003,29435,97,85,1100,0,1,1,1,0
15950,2003,25948,97,85,1100,1,1,1,1,0
18750,2003,24500,110,85,1120,0,1,1,1,1
17450,2003,23902,97,85,1100,1,1,1,1,1
18990,2003,23175,110,85,1120,1,1,1,1,0
16250,2003,19200,97,85,1100,0,1,1,1,1
18500,2003,18000,71,85,1125,0,1,1,1,0
18500,2003,16123,110,85,1105,1,1,1,1,1
19450,2003,14635,110,100,1155,1,1,1,1,0
16950,2003,13748,97,85,1100,1,1,1,1,0
18800,2003,11500,110,69,1045,0,1,1,1,0
17450,2003,10000,97,85,1100,1,1,1,1,0
17950,2003,7187,110,85,1105,1,1,1,1,0
32500,2004,1,116,283,1480,1,1,1,1,0
31000,2004,4000,116,283,1480,0,1,1,1,1
31275,2004,1500,116,283,1480,1,1,1,1,0
24950,2004,13253,116,234,1320,0,1,1,1,0
24950,2004,13253,116,234,1320,0,1,1,1,0
22950,2004,10000,116,234,1270,0,1,1,1,1
24990,2004,6000,90,234,1280,1,1,1,1,1
21950,2004,10841,90,234,1270,0,1,1,1,0
17900,2004,1,110,85,1105,0,1,1,1,0
19250,2003,63000,90,234,1255,0,1,1,1,0
22250,2003,57313,110,234,1275,1,1,1,1,1
18950,2003,57037,110,85,1115,0,1,1,1,0
19950,2003,51099,90,234,1255,0,1,1,1,0
16350,2003,40010,110,85,1115,1,0,1,1,0
18950,2003,39115,110,85,1130,1,1,1,1,0
16950,2003,36012,110,85,1130,1,1,1,1,0
21750,2003,36000,110,85,1130,1,1,1,1,1
15950,2003,36000,110,19,1075,0,1,1,1,1
16500,2003,35000,97,85,1110,0,1,1,1,0
17950,2003,33740,97,85,1135,0,1,1,1,0
15850,2003,33477,110,19,1075,0,1,1,1,0
16250,2003,32627,97,85,1110,0,1,1,1,0
15950,2003,29797,97,85,1110,1,1,1,1,0
16250,2003,29441,97,85,1110,0,1,1,1,0
15950,2003,29371,110,19,1105,0,1,1,1,0
16500,2003,29000,97,85,1110,0,1,1,1,0
16500,2003,27821,97,85,1110,1,1,1,1,0
18450,2003,27371,97,85,1135,0,1,1,1,0
16250,2003,25170,110,19,1105,0,1,1,1,0
23000,2003,25000,116,64,1320,0,1,1,1,1
19900,2003,23000,110,85,1130,0,1,1,1,0
16450,2003,22588,97,85,1110,1,1,1,1,0
23950,2003,21684,192,19,1185,0,1,1,1,1
19950,2003,21428,110,85,1130,1,1,1,1,1
18500,2003,20629,110,85,1090,1,1,1,1,0
18950,2003,20270,110,85,1130,1,1,1,1,0
16450,2003,20105,97,85,1110,1,0,1,1,0
20500,2003,20000,110,100,1165,0,1,1,1,0
24500,2003,19988,110,85,1130,1,1,1,1,1
19450,2003,18328,110,85,1130,1,1,1,1,0
20950,2003,17896,110,85,1150,0,1,1,1,0
17200,2003,17300,97,85,1110,1,1,1,1,0
19950,2003,17038,110,85,1130,1,1,1,1,0
18450,2003,13747,97,85,1110,1,1,1,1,1
19500,2003,13634,110,85,1115,1,1,1,1,1
21750,2003,13178,110,85,1130,1,1,1,1,1
16868,2003,13157,97,85,1085,1,1,1,1,0
19500,2003,13000,110,85,1105,1,1,1,1,0
18900,2003,12500,110,85,1115,1,1,1,1,0
19750,2003,11999,110,85,1130,0,1,1,1,1
19750,2003,11754,110,100,1180,0,1,1,1,0
18950,2003,11000,110,85,1105,1,1,1,1,0
20750,2003,10000,110,85,1105,0,1,1,1,0
19600,2003,7650,110,85,1115,0,1,1,1,0
19500,2003,6500,110,85,1100,0,1,1,1,0
17650,2003,6155,97,85,1110,1,1,1,1,0
19950,2003,6000,110,85,1130,0,1,1,1,0
19950,2003,5459,110,85,1130,0,1,1,1,1
20950,2003,5278,110,85,1150,1,1,1,1,0
20500,2003,5000,110,85,1130,1,1,1,1,0
17795,2003,1,98,19,1065,0,1,1,1,0
18245,2003,1,110,19,1075,0,1,1,1,0
23750,2004,11000,110,85,1130,0,0,1,1,1
19500,2004,10077,97,85,1110,1,1,1,1,1
18950,2004,10000,97,85,1110,0,1,1,1,0
21950,2004,9788,110,85,1130,1,1,1,1,1
19950,2004,8574,110,85,1130,1,1,1,1,1
18950,2004,7000,110,85,1115,0,1,1,1,1
19950,2004,6250,110,85,1115,0,1,1,1,1
21950,2004,5000,110,85,1130,0,1,1,1,1
22500,2004,3000,110,85,1130,1,1,1,1,1
18500,2004,2000,110,19,1075,0,1,1,1,1
18700,2004,450,97,85,1110,0,1,1,1,0
21125,2004,225,97,85,1110,1,1,1,1,1
21500,2004,15,110,85,1130,1,1,1,1,0
17795,2004,1,98,19,1100,0,1,1,1,0
18245,2004,1,110,19,1075,0,1,1,1,0
6950,2001,243000,69,185,1110,0,1,1,1,1
9500,2001,180638,90,210,1160,0,1,1,1,0
11950,2001,179860,90,210,1205,0,1,1,1,0
7750,2001,178858,110,197,1084,0,0,0,0,0
11950,2001,161000,69,185,1105,0,0,1,0,0
4350,2001,158320,69,64,1110,0,0,1,1,0
4750,2001,131273,69,64,1110,0,1,1,1,0
11750,2001,130062,69,185,1140,0,1,0,0,0
13250,2001,123425,69,185,1140,0,1,1,1,0
11950,2001,118217,110,85,1075,0,1,1,1,0
11900,2001,110000,69,185,1095,0,1,1,1,0
14750,2001,108847,90,210,1205,0,1,1,1,0
9950,2001,105699,97,69,1025,0,0,0,0,0
11950,2001,98823,110,197,1119,1,1,1,0,0
11495,2001,96829,110,85,1075,1,1,0,0,1
11250,2001,96518,97,69,1025,0,1,0,0,0
10500,2001,92204,110,85,1075,1,1,1,1,0
10450,2001,91456,69,185,1110,0,1,1,1,0
12950,2001,89968,69,185,1140,0,0,1,1,1
11500,2001,89757,110,69,1045,1,1,1,1,1
12500,2001,85389,110,85,1075,0,1,1,1,0
10950,2001,85017,97,85,1060,1,0,0,0,0
11450,2001,84312,110,85,1080,0,1,1,1,0
11950,2001,82743,110,197,1121,1,1,1,1,0
13250,2001,81106,69,185,1140,0,1,1,0,0
14750,2001,80425,90,210,1205,0,1,1,1,0
11790,2001,78677,110,85,1105,0,1,1,1,0
11450,2001,78425,110,85,1075,0,0,0,0,0
13500,2001,78108,90,210,1170,1,1,1,1,0
10950,2001,77321,110,85,1075,0,1,1,1,0
13500,2001,75699,69,185,1105,1,1,1,1,0
10950,2001,75697,97,69,1025,1,0,0,0,0
10950,2001,74846,97,69,1025,1,0,1,0,1
12950,2001,74319,110,85,1075,1,1,1,1,0
11950,2001,74285,110,85,1075,0,0,0,0,0
12450,2001,74172,110,163,1615,1,1,1,1,0
11950,2001,73042,110,85,1075,1,1,1,1,0
14950,2001,71793,110,197,1067,1,1,1,1,0
12450,2001,71200,110,85,1075,0,1,0,1,0
12950,2001,67805,110,85,1075,1,1,0,0,0
11950,2001,65988,110,69,1040,1,0,0,0,0
11690,2001,65345,97,85,1060,1,1,1,1,0
12450,2001,64564,110,85,1080,1,1,1,1,0
12750,2001,63459,97,85,1060,1,1,1,1,1
11925,2001,63451,97,69,1025,1,0,0,0,0
12950,2001,62000,110,19,1075,1,1,1,1,0
11950,2001,61300,97,69,1030,1,1,1,1,0
12900,2001,61200,110,69,1045,1,1,1,1,1
11900,2001,61000,110,85,1075,0,0,0,0,0
11650,2001,60829,110,85,1075,1,0,0,0,0
10950,2001,60500,110,85,1075,1,0,0,0,0
13950,2001,59500,69,64,1110,1,1,1,1,0
13950,2001,59000,110,85,1110,0,1,1,1,0
11950,2001,58954,110,85,1080,0,1,1,1,0
10950,2001,58798,110,85,1075,1,0,0,0,0
12450,2001,58363,110,85,1055,0,1,1,1,1
11950,2001,58277,110,69,1045,0,1,1,1,0
13500,2001,57711,90,210,1165,1,1,0,0,0
11690,2001,57269,110,85,1075,1,1,1,1,0
13500,2001,56001,110,85,1075,1,1,1,1,0
11950,2001,55968,110,69,1050,1,1,0,0,0
12900,2001,55678,110,69,1030,1,1,1,1,1
13500,2001,55539,110,85,1085,1,1,0,0,0
11750,2001,55400,110,85,1075,1,0,0,0,0
11750,2001,55350,110,85,1075,1,1,1,0,0
10850,2001,54600,110,69,1030,1,1,0,0,0
11750,2001,53773,110,85,1075,1,0,0,0,0
14950,2001,53719,110,85,1105,1,0,1,1,0
9940,2001,53644,110,19,1075,0,0,0,0,0
12900,2001,53350,110,85,1075,1,0,0,0,0
13500,2001,53000,110,85,1075,0,1,1,1,0
11750,2001,52084,97,69,1025,1,1,0,0,1
11950,2001,52000,97,69,1025,0,0,0,0,0
13450,2001,51945,110,85,1075,0,1,1,1,0
11950,2001,51732,97,69,1025,0,0,0,0,0
12495,2001,50873,110,85,1075,1,0,0,0,0
13500,2001,50856,110,69,1030,0,1,1,1,0
12750,2001,50640,110,85,1075,0,0,0,0,0
12000,2001,50000,97,85,1060,0,1,1,1,0
11950,2001,49500,110,85,1075,1,1,1,1,0
12495,2001,49332,110,85,1080,1,1,1,1,0
12450,2001,49291,110,69,1040,1,1,0,0,0
14750,2001,48952,90,210,1205,0,1,1,1,0
10950,2001,48945,110,69,1040,0,1,0,1,0
13500,2001,48928,69,185,1105,1,1,0,0,0
12950,2001,48197,110,85,1075,1,0,0,0,0
13500,2001,48052,69,185,1105,1,1,0,0,0
13450,2001,48011,110,69,1030,1,1,0,1,0
13500,2001,48000,110,85,1075,0,0,0,0,0
11480,2001,47350,110,85,1075,1,0,0,0,0
13450,2001,46821,97,85,1060,1,1,1,1,0
11495,2001,46694,110,69,1040,1,0,0,0,1
12750,2001,46515,97,69,1025,0,1,0,0,0
14990,2001,46327,110,85,1055,1,1,1,1,1
12950,2001,46304,97,85,1060,1,1,1,1,0
12950,2001,45886,110,85,1080,1,1,1,1,0
12850,2001,45713,97,19,1085,0,1,1,1,0
13950,2001,45600,110,85,1105,0,1,1,1,0
11950,2001,45287,110,85,1075,0,0,0,0,0
12950,2001,45081,110,85,1075,1,1,1,1,0
11700,2001,44830,110,85,1075,0,1,0,0,0
9950,2001,44757,97,69,1025,0,1,0,0,0
11895,2001,44218,97,85,1060,1,0,0,0,1
12950,2001,43632,110,85,1075,0,0,1,0,0
12500,2001,43427,110,69,1040,1,0,1,1,1
13875,2001,43254,110,85,1075,1,1,1,1,0
10500,2001,43000,110,69,1050,0,0,1,0,1
12295,2001,42823,110,85,1075,1,1,1,1,0
13950,2001,42560,110,85,1080,1,1,1,1,0
10950,2001,41754,110,69,1040,0,0,0,0,0
12950,2001,41499,110,197,1103,1,0,0,0,0
12850,2001,41339,110,85,1080,1,1,1,1,0
13995,2001,41000,110,85,1075,1,1,1,1,0
13750,2001,40000,110,85,1055,0,1,1,1,1
12750,2001,39757,110,85,1075,1,1,1,1,0
12500,2001,39659,110,69,1045,1,1,1,1,0
13950,2001,39650,110,85,1055,0,0,1,1,1
11500,2001,39524,97,69,1025,1,1,1,0,0
13950,2001,39516,97,85,1060,1,0,1,0,0
11895,2001,39439,97,85,1060,1,0,0,0,0
9950,2001,39000,97,69,1025,0,0,1,0,1
13500,2001,38932,110,69,1040,0,0,1,1,0
11450,2001,38812,97,69,1025,1,1,1,1,0
12450,2001,38665,110,85,1075,1,1,1,1,1
12950,2001,38653,110,85,1080,1,1,1,1,0
13995,2001,38461,110,85,1080,1,1,1,1,0
11750,2001,38078,97,69,1025,0,0,0,0,0
11650,2001,37782,97,85,1060,0,1,1,1,0
9950,2001,37576,97,69,1030,0,1,1,1,0
13950,2001,37533,110,85,1075,0,1,1,1,0
12950,2001,37389,110,85,1080,1,1,1,1,0
10950,2001,37320,97,69,1025,0,1,0,0,0
9900,2001,37000,97,69,1025,1,0,0,0,0
11950,2001,37000,110,19,1075,0,0,0,0,0
11990,2001,36566,110,85,1090,1,1,1,1,1
10750,2001,36269,110,85,1075,0,1,1,1,0
13950,2001,36074,110,19,1075,0,1,1,1,0
11250,2001,36066,110,69,1040,1,0,0,0,0
12950,2001,34599,110,85,1075,0,1,1,1,0
11950,2001,34000,110,85,1075,0,1,1,0,0
10950,2001,33623,97,69,1025,0,0,0,0,0
12950,2001,33591,110,85,1075,0,1,1,1,0
12950,2001,33258,110,85,1075,1,1,1,1,0
11695,2001,33113,110,85,1075,1,0,0,0,0
11000,2001,33000,110,19,1075,0,1,1,1,0
13950,2001,32941,110,85,1080,1,1,1,1,0
11950,2001,32781,110,85,1075,1,1,0,0,0
11750,2001,32532,110,69,1040,1,0,0,0,0
12400,2001,32431,97,85,1060,1,1,1,1,0
12500,2001,32000,110,69,1040,0,0,0,0,0
12900,2001,31000,110,19,1075,0,1,1,1,1
12200,2001,30989,110,69,1045,0,1,1,1,0
12750,2001,30742,110,69,1040,1,1,1,1,0
11950,2001,30190,110,85,1075,1,0,0,0,0
11900,2001,29716,116,85,1075,0,0,0,0,0
11950,2001,29716,110,85,1070,1,1,0,0,0
14950,2001,29640,110,85,1055,1,1,1,1,1
11950,2001,29056,97,85,1060,1,1,1,1,0
12950,2001,28715,110,85,1075,1,1,1,1,0
14950,2001,28571,110,85,1090,1,1,1,1,1
13450,2001,28362,110,69,1040,0,1,1,1,1
13750,2001,28150,110,85,1075,0,1,1,1,0
12950,2001,27301,110,69,1040,1,0,0,0,0
12750,2001,27240,110,85,1075,0,1,1,1,0
11895,2001,27170,97,85,1060,1,0,0,0,1
9950,2001,27141,97,85,1060,1,0,0,0,0
12450,2001,26262,110,85,1075,0,1,1,1,0
12500,2001,26000,97,85,1060,1,1,1,1,0
14950,2001,25228,110,69,1045,1,1,1,1,0
13750,2001,25062,110,85,1080,1,1,1,1,0
12695,2001,24723,110,85,1060,1,0,0,0,0
14990,2001,24650,110,85,1055,1,1,1,1,1
12750,2001,24553,110,85,1080,1,1,1,1,0
14350,2001,24475,110,69,1030,0,1,1,0,0
12950,2001,24444,110,69,1040,1,0,0,0,0
11500,2001,24011,97,69,1025,1,0,0,0,0
11950,2001,24000,97,69,1025,0,0,0,0,0
13450,2001,23616,110,85,1075,0,1,1,1,0
12900,2001,22865,110,85,1075,1,1,1,1,0
10500,2001,22780,86,69,1035,1,0,1,0,1
10950,2001,21904,97,69,1025,0,0,0,0,0
11950,2001,21651,97,69,1025,1,0,0,0,0
11450,2001,21500,110,69,1030,1,0,1,0,0
13250,2001,21027,110,85,1080,1,1,1,1,0
10250,2001,18500,110,69,1030,0,1,0,0,0
13995,2001,18000,110,85,1075,1,1,1,1,0
11950,2001,17051,97,85,1060,1,0,0,0,0
13250,2001,16512,97,19,1085,0,1,1,1,0
12950,2001,16325,110,85,1080,0,1,1,1,0
11750,2001,16000,97,85,1060,0,1,1,1,0
11500,2001,12000,110,85,1075,0,0,0,0,0
13500,2001,10000,97,85,1060,0,0,0,0,0
6500,2000,216000,69,185,1110,0,1,1,1,0
6400,2000,198167,69,185,1095,0,1,1,1,0
7000,2000,176000,69,185,1105,0,1,0,0,0
7750,2000,174139,72,185,1100,0,0,0,0,0
8900,2000,174000,69,185,1095,0,1,1,0,0
8500,2000,150000,110,72,1075,0,1,0,1,1
8950,2000,149329,72,185,1135,0,0,0,0,0
9900,2000,146736,110,85,1080,0,1,1,1,0
10250,2000,143513,69,185,1140,0,0,0,0,0
9250,2000,142130,110,197,1119,0,1,0,0,0
7750,2000,140700,69,64,1110,0,1,1,1,0
9450,2000,138394,69,185,1095,0,1,0,0,1
7750,2000,137000,72,185,1135,0,1,1,0,0
8250,2000,135258,69,185,1140,0,0,0,0,0
9950,2000,131364,110,85,1075,0,0,1,1,0
4450,2000,129155,69,64,1110,0,0,1,0,0
9950,2000,126110,110,85,1055,0,0,1,1,1
9000,2000,119742,110,85,1080,0,1,1,1,1
9950,2000,117913,69,64,1110,0,1,1,1,1
12450,2000,117430,90,210,1165,0,0,0,0,1
10500,2000,117175,110,69,1035,1,1,1,0,0
10750,2000,115558,110,69,1035,1,1,1,1,0
8950,2000,115113,97,69,1025,1,0,0,0,0
10500,2000,115046,69,185,1140,0,1,1,0,0
5150,2000,113997,72,64,1135,0,0,1,0,0
10950,2000,107859,97,85,1060,1,0,0,0,0
9450,2000,104805,97,69,1025,1,1,0,0,0
9950,2000,103454,110,85,1075,1,1,1,1,1
10950,2000,103018,69,185,1140,0,0,0,0,0
11900,2000,102352,110,85,1080,1,1,1,1,0
9950,2000,102030,97,85,1060,1,1,1,1,0
11950,2000,101352,110,85,1080,1,1,1,1,0
7900,2000,99865,110,69,1035,0,0,0,0,0
10950,2000,99323,110,85,1055,1,1,1,1,1
8950,2000,98100,69,185,1140,0,1,0,0,0
11950,2000,98040,110,85,1080,1,0,0,0,0
10900,2000,97600,110,69,1045,0,1,1,1,0
9950,2000,97234,110,85,1080,0,1,1,1,0
9950,2000,96135,72,185,1115,0,0,0,0,0
10950,2000,96100,110,85,1080,1,1,1,1,0
8950,2000,94401,72,185,1115,0,0,0,0,0
8950,2000,94122,86,69,1015,0,0,1,1,0
10500,2000,91340,110,85,1055,1,1,1,1,1
8950,2000,90200,97,69,1025,0,0,0,0,1
9250,2000,90097,69,185,1140,1,0,0,0,0
11500,2000,89049,97,85,1060,0,1,0,0,0
9750,2000,89000,110,85,1075,0,0,0,0,0
9950,2000,87274,110,69,1040,1,0,1,1,0
11450,2000,86221,110,69,1045,1,1,1,1,0
12500,2000,84598,110,19,1075,0,1,1,1,0
10500,2000,83567,110,85,1075,0,0,0,0,0
12950,2000,83106,110,85,1075,1,1,0,0,0
12200,2000,82805,110,69,1040,1,1,0,0,0
10950,2000,82735,97,69,1030,1,1,1,1,1
10950,2000,81905,110,19,1105,0,1,1,1,0
11290,2000,80320,110,85,1070,1,0,0,0,0
10750,2000,80090,97,69,1030,0,1,1,1,0
10895,2000,79800,110,85,1075,1,0,0,0,0
11500,2000,78785,110,197,1119,1,0,0,0,0
9750,2000,78600,110,85,1075,0,0,1,1,0
10250,2000,77780,110,69,1040,0,0,0,0,0
12500,2000,77648,110,69,1030,1,0,1,0,0
11950,2000,77270,110,69,1035,1,1,1,1,0
10750,2000,76167,97,85,1060,1,1,0,0,0
11450,2000,75249,110,69,1035,1,1,0,1,0
11950,2000,75231,110,85,1080,1,1,1,1,0
11750,2000,75045,110,85,1055,0,1,1,1,1
10950,2000,74849,110,85,1060,1,0,0,1,0
11950,2000,74715,110,85,1080,1,1,1,1,0
10995,2000,74656,69,185,1105,1,0,0,0,0
11450,2000,74500,97,69,1025,0,0,0,0,0
8900,2000,74494,110,85,1075,1,0,0,0,0
10500,2000,73634,110,85,1075,0,0,1,1,0
11750,2000,73403,110,85,1075,1,0,1,1,0
11450,2000,73175,97,69,1030,1,1,1,1,0
12000,2000,73000,110,85,1055,0,1,1,1,1
11950,2000,72242,110,85,1070,1,0,1,1,0
9850,2000,72000,97,69,1025,0,1,1,1,0
10950,2000,71725,110,69,1035,0,1,0,0,0
10950,2000,71276,110,85,1080,0,1,1,1,0
8695,2000,70440,69,185,1105,0,0,1,1,0
10990,2000,70239,110,69,1040,0,1,0,0,0
9500,2000,69813,97,69,1025,0,0,0,0,0
11950,2000,69659,86,69,1025,0,1,1,1,0
10750,2000,69574,97,85,1065,1,1,1,1,0
8750,2000,69000,69,185,1140,0,1,0,0,0
8750,2000,68565,110,69,1030,0,0,0,1,0
11450,2000,68520,72,185,1115,1,0,0,0,1
9950,2000,68414,97,69,1025,1,0,1,1,0
11950,2000,66777,110,85,1090,1,1,1,1,0
13950,2000,66527,110,85,1080,1,1,1,1,0
11250,2000,66063,110,85,1090,0,1,1,1,1
10900,2000,65471,97,85,1060,0,1,0,0,0
9750,2000,65400,97,69,1025,1,0,0,0,0
